Coarse_Topic,Original_Topic,Count
Economy & Finance,Economic Policy & Debt: Official development assistance,20216
Economy & Finance,Social Protection & Labor: Economic activity,19684
Economy & Finance,Private Sector & Trade: Business environment,14364
Economy & Finance,Trade,7980
Economy & Finance,Economic Policy & Debt: National accounts: Adjusted savings & income,7448
Economy & Finance,Economic Policy & Debt: National accounts: Shares of GDP & other,6650
Economy & Finance,Private Sector & Trade: Exports,6118
Economy & Finance,Private Sector & Trade: Imports,6118
Economy & Finance,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",5852
Economy & Finance,Public Sector: Government finance: Revenue,5852
Economy & Finance,Economic Policy & Debt: External debt: Net flows,5320
Economy & Finance,Economic Policy & Debt: National accounts: Growth rates,4256
Economy & Finance,Private Sector & Trade: Trade facilitation,4256
Economy & Finance,Economic Policy & Debt: National accounts: Local currency at current prices: Expenditure on GDP,3724
Economy & Finance,Public Sector: Government finance: Expense,3458
Economy & Finance,Economic Policy & Debt: Purchasing power parity,3458
Economy & Finance,Economic Policy & Debt: National accounts: Local currency at constant prices: Expenditure on GDP,2926
Economy & Finance,Economic Policy & Debt: External debt: Debt ratios & other items,2926
Economy & Finance,Economic Policy & Debt: Balance of payments: Capital & financial account,2926
Economy & Finance,Economic Policy & Debt: National accounts: Local currency at current prices: Aggregate indicators,2926
Economy & Finance,Public Sector: Government finance: Deficit & financing,2660
Economy & Finance,Economic Policy & Debt: National accounts: US$ at current prices: Expenditure on GDP,2660
Economy & Finance,Economic Policy & Debt: External debt: Debt outstanding,2660
Economy & Finance,Private Sector & Trade: Travel & tourism,2660
Economy & Finance,Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Expenditure on GDP,2394
Economy & Finance,Economic Policy & Debt: National accounts: US$ at current prices: Aggregate indicators,2394
Economy & Finance,Public Sector: Defense & arms trade,2128
Economy & Finance,Economic Policy & Debt: National accounts: Local currency at constant prices: Aggregate indicators,2128
Economy & Finance,Private Sector & Trade: Private infrastructure investment,2128
Economy & Finance,Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Value added,1862
Economy & Finance,Financial Sector: Capital markets,1862
Economy & Finance,Economic Policy & Debt: Balance of payments: Current account: Transfers,1862
Economy & Finance,Economic Policy & Debt: Balance of payments: Reserves & other items,1596
Economy & Finance,Economic Policy & Debt: National accounts: Local currency at constant prices: Value added,1330
Economy & Finance,Economic Policy & Debt: National accounts: Local currency at current prices: Value added,1330
Economy & Finance,Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators,1330
Economy & Finance,Economic Policy & Debt: National accounts: US$ at current prices: Value added,1064
Economy & Finance,Economic Policy & Debt: Balance of payments: Current account: Balances,1064
Economy & Finance,Economic Policy & Debt: External debt: Debt service,1064
Economy & Finance,Economic Policy & Debt: National accounts: Local currency at constant prices: Other items,798
Economy & Finance,Private Sector & Trade: Trade price indices,532
Economy & Finance,Economic Policy & Debt: National accounts: Atlas GNI & GNI per capita,532
Economy & Finance,Private Sector & Trade: Total merchandise trade,266
Economy & Finance,Public Sector: Government finance,266
Environment & Climate,Emissions that contribute to climate change,11438
Environment & Climate,Environment: Energy production & use,7182
Environment & Climate,Environment: Land use,6384
Environment & Climate,Environment: Density & urbanization,3192
Environment & Climate,Environment: Agricultural production,2926
Environment & Climate,Environment: Freshwater,2394
Environment & Climate,Environment: Biodiversity & protected areas,1862
Environment & Climate,Environment: Natural resources contribution to GDP,1596
Environment & Climate,Environment: Emissions,1330
Government & Governance,Public Sector: Policy & institutions,19152
Government & Governance,Public Sector: Conflict & fragility,1862
Infrastructure & Technology,Infrastructure: Communications,3990
Infrastructure & Technology,Infrastructure: Technology,3458
Infrastructure & Technology,Infrastructure: Transportation,2128
Other,Financial Sector: Access,3990
Other,Financial Sector: Assets,3724
Other,Financial Sector: Exchange rates & prices,2660
Other,Financial Sector: Interest rates,1330
Other,Financial Sector: Monetary holdings (liabilities),1064
Other,"World Bank, International Debt Statistics.",266
Other,Employment and Time Use,266
Poverty & Inequality,Poverty: Poverty rates,2660
Poverty & Inequality,Poverty: Income distribution,2394
Poverty & Inequality,Poverty: Shared prosperity,1330
Social Development,Health: Population: Structure,15428
Social Development,Education: Outcomes,13034
Social Development,Education: Participation,11704
Social Development,Education: Inputs,11172
Social Development,Health: Mortality,10374
Social Development,Health: Risk factors,8512
Social Development,Social Protection & Labor: Labor force structure,7448
Social Development,Social Protection & Labor: Performance,7182
Social Development,Health: Disease prevention,7182
Social Development,Social Protection & Labor: Unemployment,7182
Social Development,Health: Nutrition,6916
Social Development,Health: Health systems,6118
Social Development,Education: Efficiency,5586
Social Development,Health: Reproductive health,4256
Social Development,Health: Population: Dynamics,3458
Social Development,Health: Universal Health Coverage,3192
Social Development,Gender: Health,1862
Social Development,Social Protection & Labor: Migration,1330
Social Development,Gender: Public life & decision making,798
Social Development,Health,532
Social Development,Gender: Participation & access,532
Social Development,Gender: Agency,532
